KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,AG21,Differansen mellom (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters overføringer til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2023,2023,-400.0
1130,Strand,AG21,Differansen mellom (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters overføringer til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2024,2024,-592.0
1130,Strand,AG23,Differansen mellom (fylkes-)kommunale særbedrifter sine kjøp fra egen (fylkes-)kommune og (fylkes-)kommunens salg til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2020,2020,-228.0
1130,Strand,AG23,Differansen mellom (fylkes-)kommunale særbedrifter sine kjøp fra egen (fylkes-)kommune og (fylkes-)kommunens salg til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AG23,Differansen mellom (fylkes-)kommunale særbedrifter sine kjøp fra egen (fylkes-)kommune og (fylkes-)kommunens salg til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AG23,Differansen mellom (fylkes-)kommunale særbedrifter sine kjøp fra egen (fylkes-)kommune og (fylkes-)kommunens salg til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2023,2023,-1812.0
1130,Strand,AG23,Differansen mellom (fylkes-)kommunale særbedrifter sine kjøp fra egen (fylkes-)kommune og (fylkes-)kommunens salg til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2024,2024,10363.0
1130,Strand,AG25,Differansen mellom (fylkes-)kommunale særbedrifter sine overføringer til egen (fylkes-)kommune og (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,AG25,Differansen mellom (fylkes-)kommunale særbedrifter sine overføringer til egen (fylkes-)kommune og (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AG25,Differansen mellom (fylkes-)kommunale særbedrifter sine overføringer til egen (fylkes-)kommune og (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AG25,Differansen mellom (fylkes-)kommunale særbedrifter sine overføringer til egen (fylkes-)kommune og (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,AG25,Differansen mellom (fylkes-)kommunale særbedrifter sine overføringer til egen (fylkes-)kommune og (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,AG28,Differansen mellom (fylkes-)kommunes renteutgifter til særbedrifter og særbedriftenes renteinntekter fra egen/deltakende (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,AG28,Differansen mellom (fylkes-)kommunes renteutgifter til særbedrifter og særbedriftenes renteinntekter fra egen/deltakende (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AG28,Differansen mellom (fylkes-)kommunes renteutgifter til særbedrifter og særbedriftenes renteinntekter fra egen/deltakende (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AG28,Differansen mellom (fylkes-)kommunes renteutgifter til særbedrifter og særbedriftenes renteinntekter fra egen/deltakende (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,AG28,Differansen mellom (fylkes-)kommunes renteutgifter til særbedrifter og særbedriftenes renteinntekter fra egen/deltakende (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,AG29,Differansen mellom (fylkes-)kommunes avdragsutgifter til særbedrifter og særbedriftenes mottatte avdrag på utlån fra egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
